RELATIVE_PATH,SENTIMENT,OVERALL,COST,INNOVATION,PRODUCTIVITY,COMPETITIVENESS,CONSUMPTION
EARNINGS_Q1_FY2025.mp3,POSITIVE,56,52,78,66,52,77
EARNINGS_Q1_FY2025.mp3,NEGATIVE,0,9,0,2,6,1
EARNINGS_Q1_FY2025.mp3,NEUTRAL,47,6,8,9,6,5
EARNINGS_Q1_FY2025.mp3,MIXED,1,0,0,0,0,0
EARNINGS_Q1_FY2025.mp3,UNKNOWN,0,37,18,27,40,21
EARNINGS_Q2_FY2025.mp3,POSITIVE,43,44,65,64,46,64
EARNINGS_Q3_FY2025.mp3,POSITIVE,85,67,87,81,58,85
EARNINGS_Q3_FY2025.mp3,NEGATIVE,0,1,1,3,1,1
EARNINGS_Q2_FY2025.mp3,NEGATIVE,0,7,2,4,2,4
EARNINGS_Q3_FY2025.mp3,NEUTRAL,22,4,2,3,6,3
EARNINGS_Q2_FY2025.mp3,NEUTRAL,57,13,16,13,14,13
EARNINGS_Q2_FY2025.mp3,MIXED,5,0,0,0,0,0
EARNINGS_Q3_FY2025.mp3,MIXED,1,0,0,0,0,0
EARNINGS_Q2_FY2025.mp3,UNKNOWN,0,41,22,24,43,24
EARNINGS_Q3_FY2025.mp3,UNKNOWN,0,36,18,21,43,19
